time,activation,force,erg_signal
0.000000,0.000000,0.000000,0.002773
0.002000,0.000000,0.000000,0.004679
0.004000,0.000000,0.000000,0.005066
0.006000,0.000000,0.000000,0.007001
0.008000,0.000000,0.000000,0.007998
0.010000,0.000000,0.000000,0.008150
0.012000,0.000000,0.000000,0.010238
0.014000,0.000000,0.000000,0.010714
0.016000,0.000000,0.000000,0.010503
0.018000,0.000000,0.000000,0.011605
0.020000,0.000000,0.000000,0.012828
0.022000,0.000000,0.000000,0.012973
0.024000,0.000000,0.000000,0.011778
0.026000,0.000000,0.000000,0.011532
0.028000,0.000000,0.000000,0.012286
0.030000,0.000000,0.000000,0.012689
0.032000,0.000000,0.000000,0.015551
0.034000,0.000000,0.000000,0.017144
0.036000,0.000000,0.000000,0.016088
0.038000,0.000000,0.000000,0.015639
0.040000,0.000000,0.000000,0.014946
0.042000,0.000000,0.000000,0.015917
0.044000,0.000000,0.000000,0.015604
0.046000,0.000000,0.000000,0.015201
0.048000,0.000000,0.000000,0.015651
0.050000,0.000000,0.000000,0.015750
0.052000,0.000000,0.000000,0.014843
0.054000,0.000000,0.000000,0.016542
0.056000,0.000000,0.000000,0.015877
0.058000,0.000000,0.000000,0.014455
0.060000,0.000000,0.000000,0.013430
0.062000,0.000000,0.000000,0.015168
0.064000,0.000000,0.000000,0.015837
0.066000,0.000000,0.000000,0.014401
0.068000,0.000000,0.000000,0.014866
0.070000,0.000000,0.000000,0.014522
0.072000,0.000000,0.000000,0.014427
0.074000,0.000000,0.000000,0.013248
0.076000,0.000000,0.000000,0.013848
0.078000,0.000000,0.000000,0.014438
0.080000,0.000000,0.000000,0.013538
0.082000,0.000000,0.000000,0.012702
0.084000,0.000000,0.000000,0.013091
0.086000,0.000000,0.000000,0.014720
0.088000,0.000000,0.000000,0.014616
0.090000,0.000000,0.000000,0.013285
0.092000,0.000000,0.000000,0.013488
0.094000,0.000000,0.000000,0.013992
0.096000,0.000000,0.000000,0.013071
0.098000,0.000000,0.000000,0.012450
0.100000,0.000000,0.000000,0.011573
0.102000,0.000000,0.000000,0.011248
0.104000,0.000000,0.000000,0.010124
0.106000,0.000000,0.000000,0.012155
0.108000,0.000000,0.000000,0.013645
0.110000,0.000000,0.000000,0.012570
0.112000,0.000000,0.000000,0.014934
0.114000,0.000000,0.000000,0.016508
0.116000,0.000000,0.000000,0.014894
0.118000,0.000000,0.000000,0.015785
0.120000,0.000000,0.000000,0.015251
0.122000,0.000000,0.000000,0.015727
0.124000,0.000000,0.000000,0.015635
0.126000,0.000000,0.000000,0.014751
0.128000,0.000000,0.000000,0.014843
0.130000,0.000000,0.000000,0.015358
0.132000,0.000000,0.000000,0.014001
0.134000,0.000000,0.000000,0.017137
0.136000,0.000000,0.000000,0.016947
0.138000,0.000000,0.000000,0.018647
0.140000,0.000000,0.000000,0.019054
0.142000,0.000000,0.000000,0.018435
0.144000,0.000000,0.000000,0.017990
0.146000,0.000000,0.000000,0.020169
0.148000,0.000000,0.000000,0.020832
0.150000,0.000000,0.000000,0.020243
0.152000,0.000000,0.000000,0.018595
0.154000,0.000000,0.000000,0.019838
0.156000,0.000000,0.000000,0.019670
0.158000,0.000000,0.000000,0.020979
0.160000,0.000000,0.000000,0.018940
0.162000,0.000000,0.000000,0.019200
0.164000,0.000000,0.000000,0.019220
0.166000,0.000000,0.000000,0.017325
0.168000,0.000000,0.000000,0.017109
0.170000,0.000000,0.000000,0.015653
0.172000,0.000000,0.000000,0.014309
